i,sim_simt,sim_mimt,mea_simt,mea_mimt
0,800,601,4381888,3331731
1,896,653,5062048,3546088
2,864,630,4716992,3558377
3,896,635,5173664,3591717
4,768,637,4354496,3616958
5,864,655,4773280,3503957
6,800,631,4479424,3546296
7,832,645,4657056,3663354
8,864,631,4892448,3520879
9,864,660,5173696,3753476
10,800,646,4325344,3508142
11,800,614,4337024,3349425
12,960,668,5513888,3686641
13,864,655,4755616,3422215
14,896,654,5192960,3669552
15,800,654,4157056,3440946
16,832,608,4556800,3401705
17,800,635,4330624,3372132
18,896,668,5208064,3745553
19,928,639,5214208,3455915
20,800,610,4382336,3374883
21,864,646,4628800,3482930
22,832,636,4530880,3392600
23,800,624,4306304,3389254
24,864,652,4869632,3490745
25,800,649,4518816,3562168
26,832,622,4658624,3567867
27,832,629,4870528,3483275
28,864,644,5081632,3692480
29,800,637,4401312,3554539
30,864,638,5187552,3661583
31,832,633,4610464,3546116
32,864,684,4812608,3842635
33,864,632,5113568,3567096
34,800,626,4367392,3486873
35,832,610,4804800,3385111
36,832,638,4895392,3544212
37,768,627,4187584,3414110
38,928,651,5336640,3596395
39,832,660,4810176,3554178
40,832,623,4528256,3505888
41,800,658,4312352,3539533
42,864,634,5088864,3579466
43,800,650,4285664,3472069
44,800,641,4424640,3565290
45,928,660,5168128,3560598
46,800,660,4337600,3565854
47,832,634,4767584,3426972
48,864,661,4544448,3524831
49,928,650,5255936,3843553
50,896,635,5011264,3673985
51,896,622,5142080,3404602
52,960,674,5385856,3779407
53,832,678,4602784,3809887
54,832,614,4604544,3409457
55,928,632,5116160,3545570
56,864,636,5003360,3649929
57,832,656,4610432,3670684
58,832,640,4534976,3510781
59,800,642,4523360,3655119
60,960,620,5120384,3156613
61,832,661,4750944,3825310
62,896,623,5193888,3614706
63,928,643,5134432,3675826
64,928,666,5413408,3850839
65,864,663,4765280,3722236
66,832,662,4514784,3603819
67,864,652,5115328,3707963
68,832,661,4545152,3693822
69,864,661,5243872,3952231
70,832,671,4871040,3961019
71,768,655,4529504,3881264
72,800,635,4664448,3732641
73,832,656,4689824,3395097
74,832,639,4181440,3245689
75,768,648,4015040,3423912
76,864,665,4786336,3758392
77,800,646,4387776,3389308
78,864,629,4628064,3368719
79,896,634,5092672,3391084
80,896,675,5076480,3699002
81,832,621,4352768,3302423
82,896,640,4613696,3323467
83,928,621,5070272,3236009
84,896,659,4865856,3468842
85,928,661,5182144,3544272
86,800,638,4248864,3402318
87,896,646,5056064,3386551
88,768,637,4251168,3471254
89,896,652,4845056,3350925
90,896,645,4960800,3348077
91,768,642,4345952,3462759
92,896,654,4789472,3327182
93,864,653,4641632,3338808
94,864,632,4843456,3314025
95,896,673,4869312,3565663
96,800,658,4538336,3752127
97,832,665,5024032,3872607
98,864,630,4809600,3517617
99,736,611,4264576,3545399
100,736,627,4251872,3576416
101,800,631,4614816,3655686
102,832,636,4785344,3665183
103,864,642,4873056,3607212
104,768,633,4277056,3528524
105,864,622,4924032,3600403
106,832,651,4771136,3725559
107,832,628,4875456,3795673
108,800,633,4353568,3385980
109,800,618,4506848,3534624
110,896,647,5157856,3679170
111,896,632,5189088,3645916
112,832,663,4675552,3767196
113,832,661,4650624,3655653
114,896,664,4977312,3626868
115,864,651,5145664,3717968
116,832,653,4821760,3613189
117,896,639,5152640,3502163
118,736,615,4316352,3567695
119,832,630,4666112,3582146
120,800,617,4345792,3382996
121,928,637,5100320,3370013
122,864,626,4668448,3411279
123,896,643,5592576,3979634
124,832,665,4652352,3559067
125,768,628,4232160,3249284
126,768,656,4320352,3731709
127,864,639,4874976,3570219
128,864,641,4420416,3344770
129,832,626,4355616,3317611
130,832,653,4413376,3472611
131,864,622,4786400,3249650
132,960,640,5112096,3284254
133,864,632,4869216,3410982
134,864,651,4428128,3286917
135,864,666,4946304,3710747
136,864,634,4710848,3343604
137,800,644,4316640,3392798
138,960,663,5275840,3461666
139,832,640,4671072,3456918
140,896,669,5085888,3661128
141,800,607,4455392,3156594
142,832,632,4704448,3415245
143,800,633,4361440,3312726
144,832,623,4555360,3472597
145,800,631,4510624,3594664
146,896,667,4989888,3804911
147,832,650,4636064,3701107
148,928,661,5452128,3838246
149,832,627,4850208,3548859
