i,sim_simt,sim_mimt,mea_simt,mea_mimt
0,56,46,270116,224473
1,68,50,337028,248602
2,72,42,357016,217659
3,44,35,225408,189806
4,96,45,432536,218421
5,68,48,304092,225229
6,36,29,200144,166302
7,80,49,369920,234546
8,52,31,285884,179272
9,64,39,298016,196181
10,132,72,569752,327818
11,72,52,338984,256351
12,80,67,335036,287153
13,112,63,517652,309424
14,72,48,373664,252126
15,132,69,568996,320129
16,56,42,274244,219916
17,116,63,488504,290408
18,60,32,287256,163846
19,48,33,234300,168551
20,52,30,242864,155596
21,96,59,464932,295847
22,72,53,344880,252175
23,64,45,315624,242520
24,52,42,247312,208211
25,76,52,382652,273114
26,104,66,469984,311961
27,88,63,432820,326338
28,72,42,334932,211847
29,52,42,270276,230794
30,48,36,250032,196711
31,84,52,403056,270493
32,76,45,379144,235363
33,92,60,452916,314886
34,76,60,367964,293808
35,60,48,302528,255514
36,68,43,325040,226523
37,60,43,305748,237659
38,92,54,452024,277769
39,76,43,358536,229817
40,76,30,355732,161286
41,108,51,505128,266326
42,80,40,365888,208728
43,72,51,340672,255131
44,84,52,398136,259287
45,84,46,417800,246536
46,100,64,469184,306954
47,76,52,354780,254927
48,56,52,282612,264879
49,68,61,311976,283059
50,112,58,537080,289567
51,56,47,259648,222541
52,80,47,361884,235638
53,80,34,372408,163746
54,136,56,580148,261196
55,68,42,320060,207381
56,84,51,392824,254330
57,56,36,273396,183711
58,64,47,286720,215627
59,64,31,305352,157683
60,144,61,591440,264165
61,84,44,368956,206802
62,44,30,196780,141431
63,64,49,311772,252162
64,100,68,435884,309407
65,68,47,325348,229435
66,108,49,457536,214351
67,60,40,251788,175381
68,64,35,293768,167045
69,44,32,234964,183447
70,80,52,352332,233679
71,64,51,303968,249581
72,116,56,521900,255469
73,76,48,361912,240674
74,96,53,419512,239838
75,56,38,274488,193045
76,84,32,363468,154501
77,88,61,398464,279201
78,136,83,568076,363002
79,88,49,403092,233728
80,104,60,449568,270394
81,44,27,213488,140112
82,60,48,296100,246130
83,60,47,278504,223986
84,56,30,241944,141934
85,92,58,388684,257543
86,92,42,409644,201397
87,28,23,152676,126994
88,52,38,242192,182691
89,56,33,287884,175440
90,76,52,354900,246677
91,88,45,393400,223005
92,56,38,256976,184038
93,68,54,306384,240654
94,100,68,390064,262613
95,36,14,169536,65487
96,96,67,428364,302198
97,44,30,180996,124753
98,96,58,408600,250341
99,88,57,390960,252843
100,60,30,271836,145441
101,88,34,383464,154310
102,80,36,329816,154402
103,92,53,396580,228973
104,72,35,308092,143293
105,72,55,307368,237774
106,80,57,309104,220346
107,64,38,265676,161857
108,96,61,404140,264596
109,40,31,188252,148450
110,80,48,336392,202539
111,56,28,241260,126951
112,92,50,357220,196262
113,80,47,338232,198119
114,64,41,295396,195017
115,80,56,321284,220607
116,76,45,319160,193436
117,60,43,250740,184154
118,56,51,195392,176946
119,84,53,340800,213084
120,72,53,301848,230335
121,88,63,346936,246618
122,112,63,489596,283373
123,112,57,458852,246108
124,68,61,318252,287065
125,60,39,257864,175082
126,76,49,335564,221845
127,68,41,314100,192492
128,84,47,357208,205177
129,68,63,318784,296833
130,76,54,296988,213220
131,60,42,246548,180860
132,80,63,337892,261103
133,124,67,501016,283441
134,56,53,219444,207172
135,60,53,234584,208855
136,56,44,245564,202924
137,92,49,375672,210734
138,60,38,263356,172178
139,56,39,241992,174242
140,88,56,383620,255152
141,32,28,144956,125816
142,40,30,155036,118799
143,84,33,369120,159222
144,88,52,348052,219861
145,68,48,295896,208742
146,80,60,358884,275350
147,100,62,432520,276843
148,64,40,261572,169750
149,156,89,633088,360020
150,96,60,408776,268882
151,64,40,307504,202165
152,56,43,247568,189472
153,72,45,312932,204532
154,56,34,255972,167256
155,72,48,302996,212854
156,100,53,393332,200933
157,68,47,300592,217854
158,44,24,182000,100351
159,44,28,201216,124936
160,60,43,276520,204637
161,108,57,452060,250809
162,68,39,279844,158064
163,60,48,260720,209677
164,76,46,341532,207032
165,64,40,301052,199056
166,60,51,248092,210931
167,80,51,359288,229485
168,48,38,193024,153394
169,64,49,270372,212300
170,76,52,298052,205581
171,80,48,360932,219546
172,72,54,283312,214143
173,88,56,372816,242732
174,52,48,248364,231123
175,80,45,345252,204394
176,28,24,143756,126045
177,64,55,305732,266887
178,48,34,199264,142568
179,84,66,354252,278588
180,64,40,271892,173926
181,52,35,241316,166820
182,84,53,322320,207898
183,72,62,322572,276062
184,36,26,157108,118267
185,132,74,534168,315824
186,48,39,209016,170886
187,68,45,333412,230119
188,92,86,357304,333361
189,56,36,224728,146357
190,56,41,249972,188742
191,76,37,325700,165576
192,76,53,312156,216058
193,56,37,274336,179455
194,72,44,331504,208134
195,88,62,337876,240328
196,68,32,286828,142009
197,56,54,239440,230567
198,92,51,389212,228959
199,92,41,400016,192584
200,80,46,331100,194564
201,52,36,224272,158078
202,40,23,182420,109620
203,152,94,597312,378839
204,120,61,488448,252413
