i,sim_simt,sim_mimt,mea_simt,mea_mimt
0,152,123,665592,544939
1,104,97,453240,425838
2,168,132,721992,569823
3,164,135,683680,570943
4,152,120,639832,506005
5,148,118,594748,483348
6,144,119,617184,519807
7,148,115,635916,506372
8,148,122,633740,532499
9,148,121,642272,532456
10,152,124,619272,511065
11,136,111,578004,482842
12,152,123,619884,511116
13,152,112,664612,494497
14,148,135,643320,576889
15,128,119,533576,497401
16,140,120,594476,518909
17,128,123,523616,505876
18,140,122,575776,502631
19,176,117,765340,514455
20,140,132,554416,523224
21,128,116,544976,499798
22,132,119,521732,473998
23,128,111,573264,507482
24,152,129,619944,530885
25,156,122,715848,562114
26,132,121,588712,542513
27,116,101,509336,452068
28,160,139,707364,616119
29,148,119,658620,535392
30,144,127,626204,559883
31,140,119,608984,526387
32,168,119,725684,527791
33,144,131,636192,578007
34,156,114,666704,491204
35,128,119,539604,503902
36,148,133,620100,559755
37,124,106,523652,458442
38,148,121,671464,553976
39,160,131,680860,555926
40,132,111,576108,495043
41,144,114,617852,502706
42,120,107,516468,465864
43,152,124,670084,549499
44,124,119,545700,518393
45,148,135,625048,573356
46,136,120,596420,529777
47,148,127,647180,559913
48,140,114,592228,491478
49,144,115,586876,481149
50,124,116,513176,481987
51,176,130,748160,559149
52,160,116,687948,504853
53,140,128,567748,515248
54,136,126,537328,497069
55,140,118,585104,500634
56,152,121,615756,488807
57,144,100,630688,453824
58,148,126,596500,512256
59,112,100,507168,459806
60,136,122,558228,505244
61,132,113,555856,483601
62,148,121,628112,527431
63,144,126,611192,541154
64,188,149,785772,628497
65,144,108,590828,458254
66,148,119,583572,478116
67,172,153,726076,651734
68,164,130,702804,560636
69,152,125,620780,520789
70,124,119,500456,481543
71,136,119,577140,509174
72,144,127,588420,522216
73,144,125,626752,540418
74,144,117,587192,480331
75,144,119,595820,501437
76,132,118,551052,498033
77,144,115,617288,495518
78,156,132,653028,556910
79,144,118,581604,483012
80,148,122,609312,510090
81,128,122,536224,511169
82,140,124,561184,495464
83,168,144,680556,586429
84,132,114,535024,463171
85,148,118,591536,477676
86,140,113,561624,455142
87,160,123,643472,495196
88,132,114,552504,482562
89,184,130,751256,529635
90,168,109,655816,434788
91,124,117,535392,501475
92,136,115,565408,484816
93,172,127,696444,508644
94,156,111,642572,453867
95,148,125,596668,506892
96,148,132,604204,543522
97,144,110,553388,423144
98,136,117,524528,455218
99,116,112,450100,434046
100,176,130,687188,497461
101,128,120,533796,500633
102,156,136,642656,567927
103,156,120,612020,476876
104,120,104,462352,400634
105,152,126,626404,517576
106,136,116,532760,459658
107,176,139,675240,539866
108,144,127,557952,491856
109,140,110,561908,441085
110,156,133,609552,521225
111,160,128,631076,501925
112,132,122,520096,481472
113,132,128,513388,492646
114,128,113,538416,478180
115,148,134,600736,542522
116,144,111,566408,438914
117,148,114,560428,432621
118,156,135,636776,544070
119,136,113,539264,447878
120,140,115,572640,468660
121,160,124,634780,495072
122,132,118,502848,447652
123,152,125,610884,493993
124,124,116,493592,462685
125,140,122,563048,486367
126,136,123,562764,514037
127,128,122,515204,491431
128,160,135,618604,512432
129,124,114,464372,427098
130,164,119,661304,470877
131,120,109,462304,419080
132,164,128,646228,511002
133,144,120,572492,476489
134,148,132,580772,517845
135,160,143,609592,542172
136,132,109,509412,419982
137,148,130,606332,533439
138,108,98,467704,427862
139,160,136,644424,546082
140,136,103,520160,385458
141,120,106,479612,425212
142,140,105,592612,443546
143,144,133,572852,531538
144,172,136,722032,569178
145,148,138,582264,544588
146,164,139,670724,571095
147,148,135,598932,547376
148,128,112,487048,427334
149,156,117,636296,486837
150,144,129,589204,532203
151,164,136,630732,512040
152,168,145,637624,546611
153,136,125,536616,493169
154,148,120,552176,448992
155,116,104,469540,423381
156,132,112,509180,434892
157,136,123,574408,523675
158,152,124,609348,489695
159,144,123,598628,496535
160,160,117,646520,481103
161,132,120,512948,467099
162,132,112,534156,453489
163,168,129,677688,526514
164,144,133,616424,572315
165,148,136,593916,546308
166,160,137,623140,537824
167,136,123,550620,493107
168,140,109,559480,434341
169,128,110,535788,465196
170,144,122,578000,482724
171,144,109,550920,423868
172,120,92,468784,359409
173,140,116,581608,474371
174,148,125,579524,493631
175,192,127,766528,502775
176,160,131,638332,528477
177,136,121,580156,510121
178,112,106,465568,440976
179,140,123,551896,479806
180,148,120,621284,504569
181,152,111,630544,464435
182,132,119,538640,481418
183,132,122,505128,465816
184,144,121,563284,475474
185,132,110,523132,434781
186,120,110,530732,490776
187,140,115,573772,474127
188,128,108,571200,491128
189,136,117,576920,497126
190,144,113,646984,505871
191,156,108,615520,426582
192,116,114,466760,457660
193,132,119,539424,489382
194,164,120,651304,482042
195,132,113,522112,451522
196,132,105,531860,429899
197,128,111,524280,457565
198,148,120,587224,481407
199,152,120,589460,467686
200,160,131,656980,540289
201,156,135,611280,535489
202,140,111,589816,475310
203,140,131,592108,554807
204,140,121,563252,489903
205,172,125,678112,495106
206,168,145,672380,582089
207,136,114,520868,436523
208,140,132,568612,537124
209,148,131,568656,492527
210,192,140,762444,556250
211,140,120,562136,483468
212,132,113,520576,443608
213,140,114,573276,467120
214,152,133,577884,508884
215,188,138,741464,556975
216,168,122,686172,507726
217,148,123,607948,504230
218,128,122,508948,475845
219,140,126,563640,504028
220,136,120,556900,491170
221,140,124,545236,481974
222,128,124,506936,490728
223,148,126,579668,487305
224,148,130,563032,490544
225,136,121,511032,449267
226,132,115,504128,442549
227,180,133,726956,529923
228,148,119,605280,494282
229,148,118,591776,476609
230,136,127,539480,501872
231,124,110,479452,428320
232,160,133,665972,551243
233,148,116,583184,456957
234,148,138,595816,556887
235,120,113,528512,500880
236,148,132,576544,513989
237,188,131,709748,487759
238,144,127,596896,524159
239,148,125,603688,504492
240,148,111,629676,478124
241,148,136,591304,545343
242,124,110,521232,467900
243,132,125,537136,508348
244,148,136,592524,547854
245,164,138,670400,567571
246,136,115,538132,454611
247,140,117,575036,488156
248,140,111,592468,482423
249,140,121,563576,487265
250,156,111,647176,460332
251,152,127,630324,526624
252,136,115,553396,474135
253,160,114,639372,457774
254,132,104,517828,401819
255,140,128,591804,544525
256,160,131,645488,525153
257,132,111,507884,431849
258,136,123,547284,492360
259,156,129,609988,502543
260,140,117,588628,494633
261,132,115,561088,497689
