i,sim_simt,sim_mimt,mea_simt,mea_mimt
0,640,473,2703856,1967577
1,624,477,2554128,1954882
2,640,454,2723600,1894462
3,640,437,2552432,1731087
4,608,447,2482224,1818136
5,640,510,2660000,2083321
6,640,453,2612784,1793346
7,640,514,2742384,2167619
8,640,505,2534912,1993427
9,640,538,2641168,2207344
10,640,445,2640720,1822359
11,640,527,2637072,2144109
12,640,483,2556752,1913558
13,640,458,2514736,1781046
14,640,522,2713232,2198932
15,640,505,2571200,2025024
16,608,482,2492704,1954024
17,640,485,2594688,1956372
18,624,482,2512816,1941807
19,640,479,2631360,1906505
20,640,523,2608576,2109538
21,624,457,2520464,1812392
22,608,471,2418816,1828929
23,608,479,2486160,1951067
24,560,483,2208064,1877161
25,608,455,2506544,1861494
26,640,459,2754352,1940063
27,624,473,2523088,1892518
28,624,463,2633504,1937611
29,640,508,2637392,2049122
30,640,470,2658352,1899346
31,624,469,2618640,1958662
32,624,506,2489824,2009961
33,640,495,2729840,2076354
34,640,484,2708016,2006393
35,640,441,2558544,1754732
36,608,500,2512624,2057714
37,640,516,2581152,2060036
38,576,474,2444720,1990206
39,592,429,2373856,1697138
40,640,469,2681120,1946897
41,640,485,2626704,1936696
42,640,490,2647344,1997012
43,624,466,2577888,1866010
44,592,445,2403040,1795416
45,624,480,2499712,1879687
46,640,509,2628768,2056577
47,640,492,2584848,1963533
48,560,442,2234272,1740355
49,640,508,2580016,2021729
50,640,524,2579280,2096195
51,592,449,2326256,1721899
52,640,509,2596080,2054203
53,576,480,2326784,1916173
54,592,508,2338448,1979396
55,624,464,2616064,1925788
56,608,480,2465408,1941417
57,640,473,2585968,1908449
58,640,502,2579712,2003442
59,640,517,2558416,2042334
60,624,474,2503552,1880569
61,640,546,2571440,2184563
62,576,449,2271296,1735099
63,640,507,2551936,2013250
64,592,482,2398384,1930409
65,640,456,2656064,1878531
66,640,452,2579664,1798154
67,640,504,2555088,1987756
68,624,456,2446528,1777053
69,640,483,2533264,1889425
70,640,506,2573264,1976009
71,640,493,2546880,1916249
72,640,483,2485952,1852553
73,608,485,2453680,1897639
74,640,459,2563696,1801055
75,624,516,2609184,2127511
76,640,491,2486080,1876026
77,640,495,2586560,1948870
78,560,422,2318560,1718434
79,640,481,2527280,1863558
80,640,488,2643360,1997798
81,624,491,2443136,1881941
82,640,491,2546384,1912252
83,640,481,2480304,1825924
84,640,482,2597552,1896914
85,624,457,2507440,1770816
86,608,474,2422016,1837232
87,640,531,2559904,2086670
88,640,490,2606864,1956101
89,640,444,2543632,1702879
90,640,503,2649008,2042360
91,624,474,2559056,1911501
92,608,462,2406976,1811492
93,640,452,2544208,1763811
94,624,457,2613776,1840261
95,640,462,2652848,1865482
96,640,481,2481760,1848450
97,608,476,2372224,1806998
98,640,553,2550784,2174995
99,640,461,2622448,1831688
100,608,500,2439104,1978020
101,640,452,2619792,1835813
102,640,500,2705392,2091771
103,592,505,2398912,2033676
104,640,513,2618272,2090721
105,624,463,2570848,1912163
106,608,462,2450032,1861138
107,608,459,2513616,1896413
108,640,454,2697072,1877097
109,624,455,2510336,1810741
110,640,442,2618368,1811124
111,640,444,2584144,1749203
112,624,438,2526736,1746596
113,640,512,2595392,2054053
114,640,459,2617312,1815933
115,576,458,2288256,1792197
116,640,495,2684192,2043821
117,640,520,2593264,2070866
118,608,434,2425616,1695084
119,624,453,2564400,1848183
120,624,494,2481920,1942866
121,576,453,2366704,1844059
122,640,502,2545328,1950279
123,640,488,2633104,1976014
124,624,479,2511328,1903859
125,640,494,2609456,1992339
126,624,453,2448656,1739517
127,640,447,2597712,1782172
128,640,465,2544352,1784277
129,624,462,2662416,1930590
130,624,481,2504704,1876494
131,624,456,2477776,1771066
132,608,475,2425952,1842411
133,640,439,2741360,1886868
134,640,481,2570896,1890978
135,624,497,2491136,1933724
136,624,459,2526112,1829936
137,608,468,2450320,1857469
138,608,464,2501088,1832279
139,640,431,2687760,1816998
140,640,444,2697440,1860615
141,640,496,2666992,2014666
142,640,475,2710160,1968851
143,640,455,2668160,1855603
144,624,450,2505136,1796140
145,640,471,2589520,1876004
146,640,478,2613312,1943405
147,640,484,2503712,1865697
148,640,511,2587952,2045863
149,640,498,2568256,1986218
150,640,484,2631568,1957541
151,640,483,2528592,1872977
152,624,453,2477712,1785403
153,640,491,2590448,1942431
154,592,441,2448144,1819106
155,640,442,2568240,1741885
156,640,482,2625792,1979776
157,640,479,2684096,1988013
158,592,478,2423056,1952365
159,640,443,2631936,1843534
160,640,510,2485008,1934474
161,640,472,2526176,1834238
162,640,484,2602720,1951416
163,640,507,2656928,2084582
164,640,479,2653504,1949041
165,608,456,2392576,1738920
166,640,517,2673104,2136536
167,608,495,2467728,1989792
168,624,478,2615440,1992378
169,640,493,2555200,1905970
170,640,516,2631056,2085375
171,576,452,2182928,1684677
172,640,483,2609504,1954925
173,592,489,2332416,1915174
174,608,466,2452720,1855916
175,624,510,2498320,2051726
176,624,472,2553568,1880184
177,608,478,2376560,1815494
178,640,479,2539328,1854783
179,640,502,2518720,1936920
180,560,437,2317248,1789043
181,624,475,2554432,1906131
182,640,459,2595008,1804639
183,576,454,2301872,1778757
184,640,546,2575520,2174307
185,560,461,2237312,1825101
186,624,496,2657920,2097937
187,640,522,2576192,2065588
188,608,476,2544352,1967266
189,640,477,2626848,1930368
190,576,463,2258064,1794345
191,624,498,2642976,2054468
192,640,498,2569936,1970979
193,624,478,2485520,1844885
194,624,442,2467456,1712667
195,608,489,2377328,1880081
196,640,484,2598304,1936490
197,640,483,2605328,1947523
198,640,488,2620096,1958040
199,608,455,2461792,1841079
200,640,477,2572384,1899025
201,608,469,2476432,1874770
202,640,484,2664464,1968394
203,640,457,2616576,1857065
204,608,505,2485888,2052012
205,560,421,2182224,1616382
206,640,427,2608656,1675089
207,592,483,2470704,1994021
208,640,495,2479696,1900946
209,640,483,2649904,1984470
210,640,475,2606992,1882800
211,640,464,2652272,1880842
212,624,511,2485616,1997408
213,624,494,2493984,1924320
214,624,449,2600064,1838778
215,640,519,2654752,2137835
216,640,527,2639712,2135821
217,640,505,2567728,1989819
218,640,468,2600736,1868845
219,640,506,2544128,1963320
220,592,436,2286608,1652517
221,640,472,2679184,1944184
222,640,478,2586624,1856633
223,640,507,2566432,1999377
224,624,481,2575344,1944536
225,640,467,2648000,1921014
226,640,483,2632096,1931221
227,640,457,2601680,1806028
228,624,463,2547600,1876428
229,640,470,2668784,1912908
230,640,478,2638624,1886788
231,624,457,2510736,1812173
232,608,459,2459168,1842174
233,624,476,2496000,1871995
234,624,488,2553440,1957458
235,640,445,2551360,1754909
236,640,464,2601616,1831732
237,640,457,2665008,1887462
238,640,488,2568656,1935257
239,640,491,2609856,1963409
240,608,471,2490320,1914848
241,640,457,2586496,1801929
242,640,481,2537952,1884799
243,624,487,2504912,1964146
244,624,474,2571296,1947807
245,640,506,2597120,2003175
246,640,474,2601936,1921353
247,592,429,2345504,1671066
