n,d,p
1,1,0.051222163637262175
238,237,1.5902339565288049e-09
236,235,1.5902339565307074e-09
234,233,4.6261351462669955e-09
232,231,1.1565337865657497e-08
230,229,2.602201019773752e-08
228,227,5.030921971563198e-08
226,225,7.197013375989942e-08
224,223,8.437877751155819e-08
222,221,8.35595660794367e-08
220,219,1.1714723479761993e-07
218,217,1.596418199692774e-07
216,215,1.3619791633749009e-07
214,213,1.3325839296325532e-07
212,211,9.612080803906365e-08
210,209,4.9473945314230856e-08
208,207,2.4736972657118465e-08
206,205,1.3428642299574918e-08
204,203,9.766285308781036e-09
202,201,1.439242045504755e-08
200,199,2.3387683239462033e-08
198,197,3.0487515651438345e-08
196,195,3.986828969801067e-08
194,193,3.986828969803581e-08
192,191,3.986828969802701e-08
190,189,3.822986683372508e-08
188,187,2.586138050517339e-08
186,185,1.0714000495001903e-08
184,183,8.151956898367783e-09
182,181,1.1806282404529041e-08
180,179,1.5854150657511412e-08
178,177,2.3781225986270217e-08
176,175,4.40205672511782e-08
174,173,6.56814812954431e-08
172,171,1.0946913549235049e-07
170,169,1.758493559504531e-07
168,167,2.2314676893030268e-07
166,165,3.0294760020338576e-07
164,163,2.502610610375411e-07
162,161,1.8800099219405905e-07
160,159,1.6326401953696827e-07
158,157,1.2191793666718972e-07
156,155,1.071400049499543e-07
154,153,8.478035174301235e-08
152,151,5.7007477896173715e-08
150,149,4.5731273477145735e-08
148,147,5.5698345901644094e-08
146,145,5.646133694140128e-08
144,143,5.824432652901555e-08
142,141,8.972774627444659e-08
140,139,1.5748135060409662e-07
138,137,3.536423311812313e-07
136,135,6.065377191770103e-07
134,133,1.0543331446632661e-06
132,131,2.169424470544384e-06
130,129,3.422328041173318e-06
128,127,4.301871985857368e-06
126,125,4.700193466029379e-06
124,123,4.047217702727618e-06
122,121,3.6620196684392023e-06
120,119,3.5505426617898203e-06
119,118,2.602201019774407e-09
118,117,3.7835922512675163e-06
117,116,6.505502549437963e-09
116,115,5.4789503101043595e-06
115,114,3.144326232226617e-08
114,113,7.950977027013027e-06
113,112,7.127139459718193e-08
112,111,1.0797833131554399e-05
111,110,1.1714723479764165e-07
110,109,1.3315093169893379e-05
109,108,1.401172808363442e-07
108,107,1.4198604667983539e-05
107,106,8.622601897622405e-08
106,105,1.653552575046471e-05
105,104,3.109790848323082e-08
104,103,2.0691176527167388e-05
103,102,1.1308330357536771e-08
102,101,2.799238235324539e-05
101,100,1.3364390422544156e-08
100,99,4.9077591547794314e-05
99,98,2.8399329647915182e-08
98,97,0.00010266784139552973
