n,d,p
0,1,2.3283064365386963e-10
1,1,2.3283064365386963e-10
32,31,7.450580596923828e-09
16,15,1.1548399925231934e-07
32,29,1.1548399925231934e-06
8,7,8.372589945793152e-06
32,27,4.688650369644165e-05
16,13,0.00021098926663398743
32,25,0.000783674418926239
4,3,0.002448982559144497
32,23,0.0065306201577186584
16,11,0.015020426362752914
32,21,0.03004085272550583
8,5,0.0525714922696352
32,19,0.08087921887636185
16,9,0.10976465418934822
32,17,0.13171758502721786
2,1,0.13994993409141898
32,15,0.13171758502721786
16,7,0.10976465418934822
32,13,0.08087921887636185
8,3,0.0525714922696352
32,11,0.03004085272550583
16,5,0.015020426362752914
32,9,0.0065306201577186584
4,1,0.002448982559144497
32,7,0.000783674418926239
16,3,0.00021098926663398743
32,5,4.688650369644165e-05
8,1,8.372589945793152e-06
32,3,1.1548399925231934e-06
16,1,1.1548399925231934e-07
32,1,7.450580596923828e-09
