n,d,p
0,1,8.271806125530277e-25
1,1,0.08892787877390668
80,79,6.6174380713877e-23
78,77,5.1616030659284456e-20
76,75,1.274916954417682e-17
74,73,1.4937776748262706e-15
72,71,9.948559314164282e-14
70,69,4.178394912323438e-12
68,67,1.1838785585095722e-10
66,65,2.3719852547015853e-09
64,63,3.478911706900908e-08
62,61,3.8345337924940894e-07
60,59,3.24192402456292e-06
58,57,2.136722652552876e-05
56,55,0.0001112191534533929
54,53,0.0004619872528064014
52,51,0.0015443573879528184
50,49,0.004182634592372231
48,47,0.009226399836115052
46,45,0.01664370166514867
44,43,0.02462489193732549
42,41,0.02993868440801159
40,39,0.02993868440801159
39,38,6.538030550176234e-19
38,37,0.024624891937325633
37,36,1.0755199258749281e-14
36,35,0.016643701665729007
35,34,2.0295061002713536e-11
34,33,0.009226400324464994
33,32,8.43372535005008e-09
32,31,0.004182742438635122
31,30,1.0457819434074847e-06
30,29,0.0015521920376788342
29,28,4.6021718670370493e-05
28,27,0.0006764813344665118
27,26,0.000800777904864434
80,77,1.6345072036327876e-20
26,25,0.002524277572129676
76,73,8.4909469164215745e-16
25,24,0.005904895895113645
74,71,6.273866234270392e-14
24,23,0.01181065590882475
70,67,8.371712663619431e-11
23,22,0.01927165455964587
68,65,1.7363552191473927e-09
22,21,0.025859404602764913
64,61,2.9412617158344183e-07
21,20,0.028513032769534836
62,59,2.5273063632347237e-06
20,19,0.025873394617750154
39,37,4.354328346417277e-17
58,55,8.875617172142736e-05
19,18,0.01927165455965082
56,53,0.00037178974154419543
37,35,3.0473064566455716e-13
18,17,0.013040538956575622
35,33,2.9766089470646864e-10
52,49,0.003406670708719399
17,16,0.005904901277814836
50,47,0.007545144754867511
33,31,7.1303314323151e-08
16,15,0.01606452690865884
78,73,2.5400248687433985e-16
31,29,5.443429090044124e-06
46,43,0.020235237287628164
76,71,2.405768292986068e-14
15,14,0.0008333218344956204
74,69,1.2570139133663123e-12
44,41,0.02462489193732549
29,27,0.00015384403098380836
72,67,4.134179092774907e-11
14,13,0.025420308531285036
68,63,1.4680094125518929e-08
27,25,0.0017664218489656354
40,37,0.020235237287628143
66,61,1.723163429476126e-07
13,12,0.004398989846479768
64,59,1.5309644315753605e-06
38,35,0.01365075531318194
25,23,0.008736483400372929
62,57,1.0498041816513502e-05
37,34,4.469382803080222e-12
12,11,0.0219426820936957
35,32,2.5165875643365165e-09
58,53,0.0002403812984122007
23,21,0.01927165455964587
80,73,3.084315093254946e-17
34,31,0.003406706185613532
56,51,0.0008201244298768886
