n,d,p
1,1,3.3693987921996275e-05
1080,1079,2.823692330181378e-29
1076,1075,3.4667534209802877e-29
1072,1071,4.2562637440428204e-29
1068,1067,5.225575305438864e-29
1064,1063,6.415635613227822e-29
1060,1059,7.876717471118147e-29
1056,1055,9.670542698649431e-29
1052,1051,1.1872889500130924e-28
1048,1047,1.4576793609301785e-28
1044,1043,1.7896478526389384e-28
1040,1039,2.197218071082935e-28
1036,1035,2.6976073805571664e-28
1032,1031,3.311954182816417e-28
1028,1027,4.0662108872596265e-28
1024,1023,4.992240251470674e-28
1020,1019,6.129161378697404e-28
1016,1015,7.525002273204752e-28
1012,1011,9.238728705767126e-28
1008,1007,1.1342735184092255e-27
1004,1003,1.3925903198393132e-27
1000,999,1.7097355844516097e-27
996,995,2.0991067713983202e-27
992,991,2.5771524429699133e-27
988,987,3.1640671159039754e-27
984,983,3.8846443673142355e-27
980,979,4.7693241971343206e-27
976,975,5.855478945101444e-27
972,971,7.18899203865445e-27
968,967,8.82619628427597e-27
964,963,1.083625360134415e-26
960,959,1.330407667790438e-26
956,955,1.6333916004889108e-26
952,951,2.0053763867490607e-26
948,947,2.4620761184956705e-26
944,943,3.022783580453134e-26
940,939,3.7111852494058004e-26
936,935,4.556361906355678e-26
932,931,5.594017118473134e-26
928,927,6.867985505567075e-26
924,923,8.432084474693573e-26
920,919,1.035238768718223e-25
916,915,1.2710016270558674e-25
912,911,1.5604565671091902e-25
908,907,1.9158312993649072e-25
904,903,2.352138242517573e-25
900,899,2.8878087089374543e-25
896,895,3.545471516559687e-25
892,891,4.352908914356539e-25
888,887,5.344230217911518e-25
884,883,6.561312719830662e-25
880,879,8.055570745183474e-25
876,875,9.890127602696801e-25
872,871,1.2142482151753088e-24
868,867,1.4907782660247325e-24
864,863,1.8302846247688677e-24
860,859,2.2471093679741093e-24
856,855,2.7588608046018967e-24
852,851,3.3871573166814984e-24
848,847,4.15854060902882e-24
844,843,5.1055969295056276e-24
840,839,6.268333643023939e-24
836,835,7.695869299105436e-24
832,831,9.448508588737413e-24
828,827,1.1600289855440597e-23
824,823,1.4242112759187015e-23
820,819,1.7485578236714683e-23
816,815,2.1467702964204462e-23
812,811,2.6356707469782455e-23
808,807,3.2359122438318615e-23
804,803,3.972851336336975e-23
800,799,4.877619215875899e-23
796,795,5.98843681753996e-23
792,791,7.352229424484706e-23
788,787,9.026608972830056e-23
784,783,1.108230780640635e-22
780,779,1.3606166688659867e-22
776,775,1.67048032944951e-22
772,771,2.0509116160654218e-22
768,767,2.517981434822544e-22
764,763,3.0914206426090144e-22
760,759,3.7954535555477355e-22
756,755,4.659821279056709e-22
752,751,5.721038087807151e-22
748,747,7.023933932776981e-22
744,743,8.623548232644448e-22
740,739,1.058745495522411e-21
736,735,1.2998617205701338e-21
732,731,1.5958891912273184e-21
728,727,1.959333266284402e-21
724,723,2.4055472457124056e-21
720,719,2.9533809540279987e-21
716,715,3.6259770309329026e-21
712,711,4.4517485665879915e-21
708,707,5.465579382093505e-21
704,703,6.710297658338818e-21
700,699,8.238485166079876e-21
696,695,1.0114698525848236e-20
692,691,1.2418196331598426e-20
688,687,1.5246287344627913e-20
684,683,1.871844119634516e-20
680,679,2.298133525241078e-20
676,675,2.8215050838999814e-20
672,671,3.464068058295748e-20
668,667,4.252966822880234e-20
664,663,5.221527548587019e-20
660,659,6.410666030626277e-20
656,655,7.870616131702584e-20
652,651,9.663051857166821e-20
648,647,1.1863692706080225e-19
644,643,1.4565502359281244e-19
640,639,1.7882615829230703e-19
636,635,2.1955160969296875e-19
632,631,2.6955178022628647e-19
628,627,3.3093887275420887e-19
624,623,4.0630611828378135e-19
620,619,4.988373241851828e-19
616,615,6.124413706910098e-19
612,611,7.519173372685292e-19
608,607,9.231572345445806e-19
604,603,1.1333949058631736e-18
600,599,1.3915116131570228e-18
596,595,1.7084112161951302e-18
592,591,2.0974807942757643e-18
588,587,2.575156168873836e-18
584,583,3.1616162170399014e-18
580,579,3.881635306087502e-18
576,575,4.765629859927508e-18
572,571,5.850943267690542e-18
568,567,7.183423414711299e-18
564,563,8.819359476627925e-18
560,559,1.082785979438192e-17
556,555,1.3293771280924162e-17
552,551,1.6321263686939125e-17
548,547,2.0038230138740128e-17
544,543,2.4601689844276974e-17
540,539,3.02044211991504e-17
538,537,9.123035318369178e-29
536,535,3.7083105500019305e-17
534,533,1.3751513961681222e-28
532,531,4.552832528920084e-17
530,529,2.0728203871363547e-28
528,527,5.589683969796618e-17
526,525,3.1244446052976116e-28
524,523,6.862665534852466e-17
522,521,4.709599612207734e-28
520,519,8.425552946780951e-17
518,517,7.098966790939912e-28
516,515,1.0344368685680116e-16
514,513,1.0700554966472704e-27
512,511,1.2700171036995235e-16
510,509,1.6129372049203696e-27
508,507,1.5592478310675604e-16
506,505,2.431244396254507e-27
504,503,1.9143472883990842e-16
502,501,3.6647113679981934e-27
500,499,2.3503162663330273e-16
498,497,5.523965187890316e-27
496,495,2.885571800517179e-16
494,493,8.326492410273618e-27
492,491,3.542725179249378e-16
490,489,1.2550853150353476e-26
488,487,4.3495371328010984e-16
486,485,1.891840010172224e-26
484,483,5.3400905552732605e-16
482,481,2.85164568456425e-26
480,479,6.556230299432726e-16
478,477,4.298398948655029e-26
476,475,8.049330867030502e-16
474,473,6.479147680251767e-26
472,471,9.882466668793714e-16
470,469,9.766276972120527e-26
468,467,1.2133076534371966e-15
466,465,1.472109768019246e-25
464,463,1.489623503152159e-15
462,461,2.2189695986035717e-25
460,459,1.828866878790987e-15
458,457,3.34474112383123e-25
456,455,2.245368748063866e-15
454,453,5.041661314118177e-25
452,451,2.756723779784537e-15
450,449,7.599496602466988e-25
448,447,3.384533611528888e-15
446,445,1.1455023458832999e-24
444,443,4.155319387348784e-15
442,441,1.7266612420607005e-24
440,439,5.101642114678466e-15
438,437,2.6026651586044215e-24
436,435,6.263478168718543e-15
434,433,3.923100700065086e-24
432,431,7.689908050979728e-15
430,429,5.913445705195025e-24
428,427,9.441189741730115e-15
426,425,8.913571886003942e-24
424,423,1.1591304232944084e-14
422,421,1.3435781393435865e-23
420,419,1.423108077493464e-14
418,417,2.0252287629224828e-23
416,415,1.747203385939512e-14
414,413,3.052707856694895e-23
412,411,2.1451074028048305e-14
410,409,4.60146795703018e-23
408,407,2.633629150983719e-14
406,405,6.935975649942753e-23
404,403,3.233405701024847e-14
402,401,1.0454871937728882e-22
400,399,3.969773961788036e-14
398,397,1.5759044256684108e-22
396,395,4.8738410106881614e-14
394,393,2.375423413902646e-22
392,391,5.983798178459484e-14
390,389,3.5805701812262815e-22
388,387,7.346534400567545e-14
386,385,5.39713583175111e-22
384,383,9.0196169895293e-14
382,381,8.135317480550038e-22
380,379,1.1073723503804044e-13
378,377,1.2262687576465025e-21
376,375,1.3595627444910254e-13
374,373,1.8484036665202583e-21
372,371,1.6691863910431877e-13
370,369,2.7861723566379236e-21
368,367,2.0493230054545062e-13
366,365,4.1997083979666274e-21
364,363,2.5160310473299906e-13
362,361,6.330387488716857e-21
360,359,3.0890260928908476e-13
1076,1073,1.9206390143935113e-28
358,357,9.54204481824448e-21
1072,1069,2.358040855425385e-28
356,355,3.792513698440757e-13
1064,1061,3.554368760791037e-28
354,353,1.4383103637088174e-20
1060,1057,4.363832393971274e-28
352,351,4.656211938362106e-13
1052,1049,6.577778116416025e-28
350,349,2.1680224121262836e-20
1048,1045,8.075785933131181e-28
348,347,5.716606813732381e-13
1040,1037,1.2172953302398536e-27
346,345,3.2679464030522175e-20
1036,1033,1.4945193244084026e-27
344,343,7.018493565090518e-13
1028,1025,2.2527484139942534e-27
342,341,4.9259055779855694e-20
1024,1021,2.7657840728369387e-27
340,339,8.616869000652917e-13
1016,1013,4.168976328645293e-27
338,337,7.42501337868416e-20
1012,1009,5.1184092552726466e-27
336,335,1.0579254779668704e-12
1004,1001,7.715181827364618e-27
334,333,1.1192017954947986e-19
1000,997,9.472219304441051e-27
332,331,1.2988549795993525e-12
992,989,1.4277852869639412e-26
330,329,1.6870173764805993e-19
988,985,1.7529457705839198e-26
328,327,1.594653215850126e-12
980,977,2.6422848737586265e-26
326,325,2.5429083834649526e-19
976,973,3.244032656565897e-26
324,323,1.9578158706819386e-12
968,965,4.8898594372720055e-26
322,321,3.83302693665296e-19
964,961,6.003464599082632e-26
320,319,2.403684369250641e-12
956,953,9.049260944536903e-26
318,317,5.777673939288652e-19
952,949,1.111011848614438e-25
316,315,2.9510939620452603e-12
944,941,1.674672343741349e-25
314,313,8.70891770405813e-19
940,937,2.056058309920111e-25
312,311,3.623169403046642e-12
932,929,3.099178458987886e-25
310,309,1.3127298004873228e-18
928,925,3.804978119427743e-25
308,307,4.448301835068546e-12
920,917,5.735394840544172e-25
306,305,1.978729834917182e-18
916,913,7.041560260697325e-25
304,303,5.461348150626296e-12
908,905,1.0614023819196161e-24
302,301,2.9826181733241407e-18
904,901,1.3031236800651375e-24
300,299,6.70510349538e-12
896,893,1.9642501476784974e-24
298,297,4.495818989987187e-18
892,889,2.4115838860701043e-24
296,295,8.232109120497456e-12
884,881,3.6350762990751596e-24
294,293,6.776726760194307e-18
880,877,4.4629200804340585e-24
292,291,1.0106871957752668e-11
872,869,6.727136926178998e-24
290,289,1.0214829752861848e-17
868,865,8.259159368558077e-24
288,287,1.2408589685521018e-11
860,857,1.244935937935795e-23
286,285,1.5397219125501427e-17
856,853,1.5284547393916323e-23
284,283,1.523449641008114e-11
848,845,2.303900614420399e-23
282,281,2.320884072796822e-17
844,841,2.828585556512814e-23
280,279,1.870397030739317e-11
836,833,4.2636395008894366e-23
278,277,3.4983608634010947e-17
832,829,5.2346307970844406e-23
276,275,2.2963576764021515e-11
824,821,7.890367179604995e-23
274,273,5.273218457563193e-17
820,817,9.6873009621688e-23
272,271,2.8193260083082224e-11
812,809,1.4602053999879478e-22
270,269,7.948531894521702e-17
808,805,1.7927491655578185e-22
269,268,3.4369329731252312e-28
268,267,3.461394535299366e-11
267,266,5.180625758417303e-28
800,797,2.7022821140586704e-22
266,265,1.1981138234019395e-16
796,793,3.31769352772297e-22
265,264,7.808963231317018e-28
264,263,4.2496871665954663e-11
263,262,1.177076083990236e-27
788,785,5.000891397689781e-22
262,261,1.805964614439217e-16
784,781,6.139782718230667e-22
261,260,1.774253593518703e-27
260,259,5.217505103942165e-11
259,258,2.6744030015729312e-27
776,773,9.254738667310305e-22
258,257,2.722202285715193e-16
772,769,1.1362391224739177e-21
257,256,4.031234003989716e-27
256,255,6.405733723338941e-11
255,254,6.076439331555964e-27
764,761,1.7126984169579026e-21
254,253,4.1032837659897535e-16
760,757,2.1027443521040087e-21
253,252,9.15925866733e-27
252,251,7.86456989709406e-11
251,250,1.3806114848968263e-26
752,749,3.169550187150776e-21
250,249,6.185042806190644e-16
748,745,3.891376140042649e-21
249,248,2.0810505970999536e-26
248,247,9.65564275300841e-11
247,246,3.1368503263080674e-26
740,737,5.8656260139745755e-21
246,245,9.322960998140784e-16
736,733,7.201449975457805e-21
245,244,4.7282992477785943e-26
244,243,1.185461750202733e-10
243,242,7.127153500925831e-26
728,725,1.0855031946173974e-20
242,241,1.4052869882561849e-15
724,721,1.3327131555193382e-20
241,240,1.0743041914147866e-25
240,239,1.455439239376184e-10
239,238,1.6193414321802879e-25
716,713,2.0088515406830487e-20
238,237,2.1182449650679633e-15
712,709,2.4663426961706322e-20
237,236,2.4408977410366765e-25
236,235,1.786902394758992e-10
235,234,3.679262238804409e-25
704,701,3.717616431212642e-20
234,233,3.1929148776024856e-15
700,697,4.5642577097395443e-20
233,232,5.5458982950309555e-25
232,231,2.193854642085544e-10
231,230,8.359553058451133e-25
692,689,6.879887164320458e-20
230,229,4.812807576075167e-15
688,685,8.446696589821557e-20
229,228,1.2600686782300478e-24
228,227,2.693488932499993e-10
227,226,1.8993516308035233e-24
680,677,1.2732041691086305e-19
226,225,7.254536263293888e-15
676,673,1.5631607113019285e-19
225,224,2.862968249128838e-24
224,223,3.3069143296783386e-10
223,222,4.315465901388608e-24
668,665,2.3562143063048393e-19
222,221,1.0935051020936176e-14
664,661,2.8928130463085983e-19
221,220,6.5048733772923915e-24
220,219,4.0600481757975127e-10
219,218,9.805054337124693e-24
656,653,4.360452150527746e-19
218,217,1.6482837289730542e-14
652,649,5.353491333610426e-19
217,216,1.477954834373551e-23
216,215,4.984711599490471e-10
1076,1071,5.533142866950836e-28
215,214,2.2277800994640543e-23
644,641,8.069530392953598e-19
1072,1067,6.793247893746262e-28
214,213,2.4845236170693286e-14
1068,1063,8.340326298380797e-28
640,637,9.907266387385434e-19
213,212,3.358021541541652e-23
1064,1059,1.0239732718068364e-27
212,211,6.119974756713583e-10
1056,1051,1.5434756342562457e-27
211,210,5.061679416917666e-23
632,629,1.4933616633035258e-18
1052,1047,1.8949831692722066e-27
210,209,3.745021258435212e-14
1048,1043,2.326542207882667e-27
628,625,1.8334563587490796e-18
209,208,7.629670685802153e-23
1044,1039,2.8563834942096765e-27
208,207,7.513808802189684e-10
1036,1031,4.3055404359688054e-27
207,206,1.15005060529226e-22
620,617,2.76364168523647e-18
1032,1027,5.2860741555529416e-27
206,205,5.645019485321987e-14
1028,1023,6.489912328404498e-27
616,613,3.393026984437727e-18
205,204,1.7335170142828382e-22
1024,1019,7.967909794322483e-27
204,203,9.225114632568901e-10
1016,1011,1.2010347317980899e-26
203,202,2.6129991368205384e-22
608,605,5.114444512712357e-18
1012,1007,1.4745555749261916e-26
202,201,8.508962380789432e-14
1008,1003,1.810367414531188e-26
604,601,6.279196154366613e-18
201,200,3.938677516706726e-22
1004,999,2.2226562605150147e-26
200,199,1.1326214488395578e-09
996,991,3.3502981748977586e-26
199,198,5.93692526013584e-22
596,593,9.464882084183551e-18
992,987,4.113287253303321e-26
198,197,1.2825897418521946e-13
988,983,5.050037677028468e-26
592,589,1.1620392212054097e-17
197,196,8.948963553760662e-22
984,979,6.200121457028117e-26
196,195,1.390591225038594e-09
976,971,9.345689647724469e-26
195,194,1.3489128660575465e-21
