n,d,p
0,1,1.4781103660438164e-42
1,1,1.2029493718335292e-18
1008,1007,3.257107713621552e-103
992,991,3.656768237377695e-101
976,975,4.042607557583719e-99
960,959,4.3985688590880326e-97
944,943,4.7078580881712976e-95
928,927,4.954079365733118e-93
912,911,5.12252281362016e-91
896,895,5.2014849657816055e-89
880,879,5.183475313406883e-87
864,863,5.066153312729804e-85
848,847,4.852853668650461e-83
832,831,4.552595672810369e-81
816,815,4.17953221528961e-79
800,799,3.75186825903793e-77
784,783,3.290355464567852e-75
768,767,2.8165354916895606e-73
752,751,2.350946120341443e-71
736,735,1.911512272361392e-69
720,719,1.5123151204156714e-67
704,703,1.1628711588514685e-65
688,687,8.679708569079812e-64
672,671,6.280394529630591e-62
656,655,4.399076456208794e-60
640,639,2.9783129433454486e-58
624,623,1.9458419531793192e-56
608,607,1.2246599078810774e-54
592,591,7.411042790303315e-53
576,575,4.3034939846065746e-51
560,559,2.3927296922082184e-49
544,543,1.2707844121377657e-47
528,527,6.430507675625026e-46
512,511,3.0917711149347364e-44
504,503,3.7185155227650684e-102
496,495,1.4081356962117562e-42
488,487,4.606240342054571e-98
480,479,6.055122695192642e-41
472,471,5.353031969247128e-94
464,463,2.4494773652441066e-39
456,455,5.811524125709642e-90
448,447,9.284824811232922e-38
440,439,5.866627670609406e-86
432,431,3.283431340194764e-36
424,423,5.478355752687212e-82
416,415,1.0780587952572505e-34
408,407,4.705240572335491e-78
400,399,3.2688667406552125e-33
392,391,3.693207403574074e-74
384,383,9.099383061420054e-32
376,375,2.6302938358172998e-70
368,367,2.3099657216788867e-30
360,359,1.686106435274011e-66
352,351,5.308200344094635e-29
344,343,9.64036086544615e-63
336,335,1.0949592188306303e-27
992,989,3.357489219032409e-99
328,327,4.86564517126105e-59
976,973,3.704343908546952e-97
320,319,2.008340512835232e-26
944,941,4.2958831059282505e-93
312,311,2.1423963096268243e-55
928,925,4.510617852143848e-91
304,303,3.2402295851617287e-25
896,893,4.713994347895622e-87
296,295,8.118577885962785e-52
880,877,4.686233184385246e-85
288,287,4.5419614220108214e-24
848,845,4.364819685598953e-81
280,279,2.606539256954414e-48
832,829,4.083654320082814e-79
