n,d,p
0,1,8.756526965536758e-27
1,1,0.05161164467410048
118,117,3.5756376443548237e-12
116,115,1.3595368911051048e-11
114,113,4.994032179730479e-11
112,111,1.7712167464584711e-10
110,109,6.06149731003081e-10
108,107,2.000294112312353e-09
106,105,6.360935277165587e-09
104,103,1.9478597359846197e-08
102,101,5.7396933553654374e-08
100,99,1.6262464506873344e-07
98,97,4.4270042268703886e-07
96,95,1.1569237712886098e-06
94,93,2.900022253363473e-06
92,91,6.966497901968549e-06
90,89,1.602294517452827e-05
88,87,3.5250479383963125e-05
86,85,7.410434110495233e-05
84,83,0.00014870271115060703
82,81,0.00028451785400148793
80,79,0.0005184547561804952
78,77,0.0008986549107128477
76,75,0.0014797850863071862
74,73,0.0023117531459421023
72,71,0.003421394655994306
70,69,0.0047899525183921115
68,67,0.006333381663207163
66,65,0.007895615806798211
64,63,0.009264189213309995
62,61,0.010211195221781618
60,59,0.01055156839584101
59,58,6.9128994457528575e-12
58,57,0.01019984947514416
57,56,9.322193402163277e-11
56,55,0.0092025311612144
55,54,1.0910695158055222e-09
54,53,0.007730129436505657
53,52,1.1025621147087106e-08
52,51,0.006029531317684574
51,50,9.566155592275912e-08
50,49,0.004354903212081248
49,48,7.083206762992539e-07
48,47,0.002904904241793413
47,46,4.4467007884905e-06
46,45,0.0017910126732891335
45,44,2.350031958930738e-05
44,43,0.0010515977324244816
43,42,0.000103746077546931
42,41,0.0007171106884969961
41,40,0.0003793571386686475
40,39,0.0009138035529994095
118,115,1.3134508946930293e-11
39,38,0.0011382962202362997
116,113,4.82182417378591e-11
38,37,0.0019263225557819218
112,109,5.845015263312965e-10
37,36,0.0027741037751305925
110,107,1.927556144589797e-09
36,35,0.00403010978647499
106,103,1.8743555950048316e-08
35,34,0.005428612854177584
104,101,5.518935918623264e-08
34,33,0.0069799581079757825
100,97,4.24992405779607e-07
33,32,0.00842199019391803
98,95,1.1097023928688488e-06
32,31,0.009579728388965604
94,91,6.6700511827361e-06
31,30,0.010211195221781617
92,89,1.5326295384331122e-05
30,29,0.010234587555538289
59,57,2.4517750034269136e-11
88,85,7.073596196382009e-05
29,28,0.00951985957442564
86,83,0.00014178630598080648
57,55,3.0763238227138875e-10
28,27,0.008553494177014736
55,53,3.341097317289009e-09
82,79,0.0004931642802692427
27,26,0.006699452862052328
80,77,0.0008537221651772363
53,51,3.123925991674781e-08
26,25,0.006428620399008671
51,49,2.4999553281146766e-07
76,73,0.0021900819277346256
25,24,0.0034843758948978074
74,71,0.0032364544043190094
49,47,1.7015436690655075e-06
24,23,0.006753725108175894
118,113,4.494920839616114e-11
47,45,9.782741734679298e-06
70,67,0.005971474139595453
116,111,1.591201977349354e-10
23,22,0.0013277138361040758
114,109,5.434838753461319e-10
68,65,0.007431167818163154
45,43,4.7157307975877286e-05
112,107,1.7898735628545563e-09
22,21,0.009500153058018908
108,103,1.7355144398160015e-08
43,41,0.00018904840797440714
64,61,0.009572995520420333
106,101,5.10241245306867e-08
21,20,0.0006948493001419915
104,99,1.4422819200668248e-07
62,59,0.009870822047722215
41,39,0.0006246747550077219
102,97,3.916596680713058e-07
20,19,0.01072568573816502
59,56,8.09085751130883e-11
98,93,2.552315503598395e-06
39,37,0.0016846784059497157
58,55,0.008567873818535243
96,91,6.114213584174607e-06
19,18,0.0026158489914535105
94,89,1.402192981970745e-05
56,53,0.007177977095248219
37,35,0.003667981658228115
92,87,3.075476607122477e-05
55,52,9.466442398985828e-09
18,17,0.010645377225627495
53,50,8.163859924909775e-08
