n,d,p
1,1,5.552197891641574e-10
320,319,2.11512300633965e-10
312,311,2.115123006339647e-10
304,303,2.1151230063396454e-10
296,295,2.1151230063396454e-10
288,287,2.1151230063396506e-10
280,279,2.115123006339648e-10
272,271,2.1151230063396462e-10
264,263,2.115123006339645e-10
256,255,2.11512300633965e-10
248,247,2.1151230063396483e-10
240,239,2.1151230063396483e-10
232,231,2.1151230063396462e-10
224,223,2.1151230063396465e-10
216,215,2.1151230063396465e-10
208,207,2.115123006339646e-10
200,199,2.115123006339647e-10
192,191,2.1151230063396465e-10
184,183,2.1151230063396467e-10
176,175,2.1151230063396467e-10
168,167,2.1151230063396465e-10
160,159,9.518053528528425e-10
156,155,9.51805352852841e-10
152,151,9.518053528528405e-10
148,147,9.518053528528405e-10
144,143,9.518053528528428e-10
140,139,9.518053528528415e-10
136,135,9.518053528528407e-10
132,131,9.5180535285284e-10
128,127,9.518053528528425e-10
124,123,9.518053528528417e-10
120,119,9.518053528528417e-10
116,115,9.518053528528409e-10
112,111,9.518053528528409e-10
108,107,9.518053528528409e-10
320,317,3.172684509509475e-09
104,103,4.124489862362311e-09
304,301,3.172684509509468e-09
100,99,9.51805352852841e-10
296,293,3.172684509509468e-09
96,95,4.124489862362317e-09
280,277,3.1726845095094723e-09
92,91,9.518053528528409e-10
272,269,3.1726845095094694e-09
88,87,4.124489862362308e-09
256,253,3.172684509509475e-09
84,83,7.402930522188763e-10
248,245,3.172684509509472e-09
80,79,1.189756691066053e-08
78,77,8.724882401151043e-09
232,229,3.17268450950947e-09
76,75,8.724882401151036e-09
224,221,3.1726845095094698e-09
74,73,8.724882401151036e-09
72,71,1.189756691066053e-08
70,69,8.724882401151048e-09
208,205,3.172684509509469e-09
68,67,8.72488240115104e-09
200,197,3.1726845095094706e-09
66,65,8.724882401151034e-09
64,63,3.2837284673423065e-08
312,307,2.09397177627625e-08
62,61,8.724882401151048e-09
184,181,3.1726845095094694e-09
304,299,2.093971776276249e-08
60,59,8.724882401151048e-09
296,291,2.0939717762762486e-08
176,173,2.9611722088755056e-09
58,57,8.724882401151041e-09
288,283,2.093971776276254e-08
56,55,3.1145186268351306e-08
272,267,2.0939717762762496e-08
54,53,8.724882401151041e-09
160,157,4.536938848598549e-08
264,259,2.0939717762762483e-08
52,51,5.409427088713647e-08
256,251,2.0939717762762533e-08
152,149,4.53693884859854e-08
50,49,8.724882401151043e-09
248,243,2.0939717762762513e-08
148,145,4.536938848598539e-08
48,47,7.503398864989907e-08
140,137,4.5369388485985443e-08
232,227,2.09397177627625e-08
46,45,8.513370100517078e-09
320,313,9.0738776971971e-08
136,133,4.536938848598541e-08
224,219,2.09397177627625e-08
312,305,9.073877697197087e-08
44,43,5.240217248206471e-08
304,297,9.07387769719708e-08
216,211,2.09397177627625e-08
128,125,4.536938848598549e-08
296,289,9.073877697197081e-08
42,41,1.8507326305471905e-09
208,203,2.0939717762762493e-08
124,121,4.5369388485985457e-08
288,281,9.073877697197103e-08
